datetime,speed
2024-01-02 07:20:00,
2024-01-02 07:25:00,91.10777385159012
2024-01-02 07:30:00,
2024-01-02 07:35:00,89.88162544169612
2024-01-02 07:40:00,
2024-01-02 07:45:00,90.0303886925795
2024-01-02 07:50:00,
2024-01-02 07:55:00,90.55441696113074
2024-01-02 08:00:00,89.96219081272085
2024-01-02 08:05:00,89.7512367491166
2024-01-02 08:10:00,
2024-01-02 08:15:00,89.72473498233215
2024-01-02 08:20:00,
2024-01-02 08:25:00,91.48904593639575
2024-01-02 08:30:00,
2024-01-02 08:35:00,93.41943462897528
2024-01-02 08:40:00,
2024-01-02 08:45:00,98.61
2024-01-02 08:50:00,
2024-01-02 08:55:00,94.24240282685513
2024-01-02 09:00:00,94.0381625441696
2024-01-02 09:05:00,93.58939929328622
2024-01-02 09:10:00,
2024-01-02 09:15:00,93.21696113074204
2024-01-02 09:20:00,
2024-01-02 09:25:00,92.5
2024-01-02 09:30:00,
2024-01-02 09:35:00,92.3844522968198
2024-01-02 09:40:00,
2024-01-02 09:45:00,93.14911660777383
2024-01-02 09:50:00,
2024-01-02 09:55:00,92.6332155477032
2024-01-02 10:00:00,92.61236749116608
2024-01-02 10:05:00,93.0713780918728
2024-01-02 10:10:00,
2024-01-02 10:15:00,93.15795053003534
2024-01-02 10:20:00,
2024-01-02 10:25:00,92.87137809187278
2024-01-02 10:30:00,
2024-01-02 10:35:00,92.90212014134276
2024-01-02 10:40:00,
2024-01-02 10:45:00,92.20636042402828
2024-01-02 10:50:00,92.60530035335688
2024-01-02 10:55:00,91.91519434628977
2024-01-02 11:00:00,91.94240282685512
2024-01-02 11:05:00,92.30070671378093
2024-01-02 11:10:00,
2024-01-02 11:15:00,92.6922261484099
2024-01-02 11:20:00,
2024-01-02 11:25:00,92.4339222614841
2024-01-02 11:30:00,
2024-01-02 11:35:00,92.42720848056535
2024-01-02 11:40:00,
2024-01-02 11:45:00,93.42720848056535
2024-01-02 11:50:00,93.46395759717316
2024-01-02 11:55:00,92.22014134275618
2024-01-02 12:00:00,92.12473498233216
2024-01-02 12:05:00,92.17844522968198
2024-01-02 12:10:00,
2024-01-02 12:15:00,93.14310954063605
2024-01-02 12:20:00,
2024-01-02 12:25:00,93.07526501766785
2024-01-02 12:30:00,
2024-01-02 12:35:00,92.88480565371026
2024-01-02 12:40:00,
2024-01-02 12:45:00,93.4798586572438
2024-01-02 12:50:00,93.19964664310956
2024-01-02 12:55:00,93.73639575971733
2024-01-02 13:00:00,93.1939929328622
2024-01-02 13:05:00,93.31519434628976
2024-01-02 13:10:00,
2024-01-02 13:15:00,93.99858657243816
2024-01-02 13:20:00,
2024-01-02 13:25:00,93.660777385159
2024-01-02 13:30:00,
2024-01-02 13:35:00,93.2494699646643
2024-01-02 13:40:00,
2024-01-02 13:45:00,93.55441696113074
2024-01-02 13:50:00,93.29010600706714
2024-01-02 13:55:00,93.1243816254417
2024-01-02 14:00:00,92.75371024734982
2024-01-02 14:05:00,93.02720848056538
2024-01-02 14:10:00,
2024-01-02 14:15:00,92.86325088339224
2024-01-02 14:20:00,
2024-01-02 14:25:00,92.739222614841
2024-01-02 14:30:00,
2024-01-02 14:35:00,92.90247349823322
2024-01-02 14:40:00,
2024-01-02 14:45:00,92.59399293286218
2024-01-02 14:50:00,93.12473498233216
2024-01-02 14:55:00,93.43992932862191
2024-01-02 15:00:00,93.37208480565371
2024-01-02 15:05:00,92.93109540636044
2024-01-02 15:10:00,92.7756183745583
2024-01-02 15:15:00,92.5208480565371
2024-01-02 15:20:00,92.88268551236747
